location,districk,neighborhood,room,living_room,area,age,floor,price
İstanbul , Beylikdüzü , Barış Mah.,2,1,115,5,4,40000
İstanbul , Küçükçekmece , Gültepe Mah.,2,1,85,15,1,19000
İstanbul , Sancaktepe , Emek Mah.,1,1,68,10,7,26500
İstanbul , Ataşehir , İçerenköy Mah.,1,1,90,14,1,26000
İstanbul , Maltepe , İdealtepe Mah.,3,1,145,23,1,43000
İstanbul , Sancaktepe , Yenidoğan Mah.,2,1,80,9,1,17000
İstanbul , Pendik , Doğu Mah.,3,1,143,2,4,60000
İstanbul , Kağıthane , Hamidiye Mah.,2,1,130,2,7,80000
İstanbul , Esenyurt , Aşık Veysel Mah.,3,1,128,20,4,22500
İstanbul , Kartal , Karlıktepe Mah.,2,1,70,0,2,35000
İstanbul , Çekmeköy , Mehmet Akif Mah.,2,1,105,10,2,22000
İstanbul , Adalar , Maden Mah.,2,1,60,55,1,29000
İstanbul , Ataşehir , İnönü Mah.,3,1,140,21,3,32000
İstanbul , Esenyurt , Koza Mah.,3,1,60,13,3,19000
İstanbul , Pendik , Doğu Mah.,3,1,115,5,7,45000
İstanbul , Küçükçekmece , Cumhuriyet Mah.,2,1,95,30,3,15000
İstanbul , Sancaktepe , Fatih Mah.,3,1,125,1,5,40000
İstanbul , Kadıköy , Fenerbahçe Mah.,2,1,110,4,1,100000
İstanbul , Bağcılar , Fevzi Çakmak Mah.,3,1,137,12,7,40000
İstanbul , Kağıthane , Emniyet Evleri Mah.,2,1,95,30,1,25000
İstanbul , Beşiktaş , Ortaköy Mah.,2,1,110,35,1,50000
İstanbul , Ataşehir , Barbaros Mah.,1,1,45,7,1,18000
İstanbul , Sultanbeyli , Hasanpaşa Mah.,3,1,186,6,5,38000
İstanbul , Pendik , Fevzi Çakmak Mah.,2,1,110,10,2,30500
İstanbul , Küçükçekmece , Gültepe Mah.,3,1,120,30,1,30000
İstanbul , Kağıthane , Merkez Mah.,4,1,220,17,5,55000
İstanbul , Gaziosmanpaşa , Kazım Karabekir Mah.,2,1,85,24,1,15000
İstanbul , Kağıthane , Ortabayır Mah.,2,1,85,8,1,20000
İstanbul , Kadıköy , Kozyatağı Mah.,3,1,125,43,6,50000
İstanbul , Kadıköy , Göztepe Mah.,3,1,150,25,4,55000
İstanbul , Ümraniye , Yamanevler Mah.,2,1,80,12,1,25000
İstanbul , Sarıyer , Çamlıtepe Mah.,2,1,100,30,-1,61000
İstanbul , Kartal , Çavuşoğlu Mah.,3,1,120,9,3,36000
İstanbul , Şişli , Mecidiyeköy Mah.,2,1,110,25,2,30000
İstanbul , Kadıköy , Merdivenköy Mah.,3,1,135,11,2,60000
İstanbul , Maltepe , Aydınevler Mah.,3,1,130,9,4,42000
İstanbul , Esenler , Nine Hatun Mah.,2,1,95,7,1,22000
İstanbul , Tuzla , Mimar Sinan Mah.,3,1,115,13,8,26000
İstanbul , Çekmeköy , Hamidiye Mah.,2,1,75,10,2,27000
İstanbul , Kağıthane , Çağlayan Mah.,2,1,130,10,-3,8000
İstanbul , Şişli , Fulya Mah.,2,1,90,5,1,42000
İstanbul , Kadıköy , Fenerbahçe Mah.,3,1,140,16,7,100000
İstanbul , Kağıthane , Gültepe Mah.,3,1,120,5,5,23000
İstanbul , Üsküdar , Kirazlıtepe Mah.,2,1,100,0,1,40000
