location,districk,neighborhood,room,living_room,area,age,floor,price,base_score,score_with_bonus,score
İstanbul , Ümraniye , İstiklal Mah.,3,1,110,5,1,25500,0.0010869801517424291,0.0010869801517424291,0.001
İstanbul , Maltepe , Altıntepe Mah.,3,1,110,0,3,68000,0.002934846409704559,0.002934846409704559,0.003
İstanbul , Esenler , Birlik Mah.,2,1,110,29,4,19000,0.0008043653122893976,0.0008043653122893976,0.001
İstanbul , Bahçelievler , Cumhuriyet Mah.,2,1,88,9,1,23500,0.0010000217396030349,0.0010000217396030349,0.001
İstanbul , Sarıyer , Zekeriyaköy Mah.,3,1,142,15,1,58000,0.002500054349007587,0.1025000543490076,0.093
İstanbul , Büyükçekmece , Pınartepe Mah.,4,1,235,12,4,75000,0.003239200852192439,0.003239200852192439,0.003
İstanbul , Üsküdar , Çengelköy Mah.,3,1,120,3,2,46000,0.001978303876171221,0.10197830387617123,0.093
İstanbul , Beykoz , Acarlar Mah.,4,1,280,15,0,120000,0.005195765125328811,0.005195765125328811,0.005
İstanbul , Beyoğlu , Yenişehir Mah.,2,1,85,30,1,18000,0.0007608861062197005,0.10076088610621971,0.092
İstanbul , Sarıyer , Zekeriyaköy Mah.,3,1,150,10,0,85000,0.003673992912889411,0.10367399291288942,0.094
İstanbul , Eyüpsultan , Merkez Mah.,2,1,118,0,3,25000,0.0010652405487075805,0.0010652405487075805,0.001
İstanbul , Kağıthane , Yahya Kemal Mah.,1,1,55,30,1,12500,0.0005217504728363661,0.0005217504728363661,0.0
İstanbul , Bakırköy , Zeytinlik Mah.,1,10,65,38,1,18000,0.0007608861062197005,0.10076088610621971,0.092
İstanbul , Fatih , Haseki Sultan Mah.,3,1,90,45,1,18000,0.0007608861062197005,0.10076088610621971,0.092
İstanbul , Esenyurt , Fatih Mah.,2,1,110,15,3,10000,0.0004130524576621231,0.0004130524576621231,0.0
İstanbul , Ataşehir , Kayışdağı Mah.,2,1,105,25,1,23000,0.0009782821365681863,0.0009782821365681863,0.001
İstanbul , Sarıyer , Zekeriyaköy Mah.,6,2,400,16,0,140000,0.0060653492467227545,0.10606534924672276,0.096
İstanbul , Bakırköy , Şenlikköy Mah.,3,1,120,30,1,39500,0.0016956890367181895,0.10169568903671819,0.092
İstanbul , Kağıthane , Gürsel Mah.,2,1,65,15,-1,17000,0.0007174069001500032,0.0007174069001500032,0.001
İstanbul , Esenyurt , Barbaros Hayrettin Paşa Mah.,1,1,80,10,1,17000,0.0007174069001500032,0.0007174069001500032,0.001
İstanbul , Silivri , Alibey Mah.,3,1,135,25,5,18500,0.000782625709254549,0.000782625709254549,0.001
İstanbul , Küçükçekmece , Atakent Mah.,3,1,126,16,2,50000,0.00215222070045001,0.00215222070045001,0.002
İstanbul , Ümraniye , Namık Kemal Mah.,3,1,150,25,6,21000,0.000891323724428792,0.000891323724428792,0.001
İstanbul , Şişli , Teşvikiye Mah.,2,1,90,40,1,50000,0.00215222070045001,0.10215222070045002,0.093
İstanbul , Beylikdüzü , Gürpınar Mah.,2,1,100,0,-1,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Beşiktaş , Türkali Mah.,2,1,90,33,-1,22000,0.0009348029304984891,0.10093480293049849,0.092
İstanbul , Bağcılar , Demirkapı Mah.,2,1,90,25,4,9000,0.0003695732515924259,0.0003695732515924259,0.0
