list-view-price,left,location,districk,neighborhood,room,living_room,area,age,floor
75.000,Kiralık Daire,İstanbul , Bakırköy , Sakızağacı Mah.,4,2,260,1,5
29.000,Kiralık Daire,İstanbul , Şişli , Halide Edip Adıvar Mah.,2,1,70,6,3
22.000,Kiralık Daire,İstanbul , Sancaktepe , Eyüp Sultan Mah.,2,1,75,4,1
400.000,Kiralık Daire,İstanbul , Beşiktaş , Ortaköy Mah.,4,2,350,30,1
23.500,Kiralık Daire,İstanbul , Maltepe , Zümrütevler Mah.,1,1,63,1,3
15.000,Kiralık Daire,İstanbul , Avcılar , Cihangir Mah.,3,1,125,8,1
30.000,Kiralık Daire,İstanbul , Üsküdar , Sultantepe Mah.,2,1,90,40,5
365.000,Kiralık Yalı,İstanbul , Sarıyer , Cumhuriyet Mah.,5,2,190,50,0
32.500,Kiralık Daire,İstanbul , Kadıköy , Acıbadem Mah.,3,1,90,40,5
30.000,Kiralık Daire,İstanbul , Bahçelievler , Cumhuriyet Mah.,3,1,135,26,5
60.000,Kiralık Daire,İstanbul , Maltepe , İdealtepe Mah.,4,1,200,25,3
22.000,Kiralık Daire,İstanbul , Küçükçekmece , Cennet Mah.,3,1,115,31,1
18.000,Kiralık Daire,İstanbul , Üsküdar , Küçük Çamlıca Mah.,2,1,85,30,1
40.000,Kiralık Daire,İstanbul , Üsküdar , Bahçelievler Mah.,3,1,147,19,4
680.000,Kiralık Daire,İstanbul , Beşiktaş , Nisbetiye Mah.,6,1,578,1,18
35.000,Kiralık Residence,İstanbul , Kağıthane , Telsizler Mah.,2,1,80,4,8
32.000,Kiralık Daire,İstanbul , Bağcılar , Fevzi Çakmak Mah.,2,1,115,1,8
90.000,Kiralık Daire,İstanbul , Beşiktaş , Abbasağa Mah.,2,1,90,13,4
13.000,Kiralık Daire,İstanbul , Fatih , Derviş Ali Mah.,2,1,65,40,1
30.000,Kiralık Daire,İstanbul , Tuzla , Aydınlı Mah.,2,1,100,10,5
45.000,Kiralık Daire,İstanbul , Sarıyer , Ferahevler Mah.,2,1,70,25,5
25.000,Kiralık Daire,İstanbul , Bahçelievler , Siyavuşpaşa Mah.,3,1,130,30,3
160.000,Kiralık Müstakil Ev,İstanbul , Üsküdar , Kuzguncuk Mah.,4,2,320,20,0
14.000,Kiralık Daire,İstanbul , Esenyurt , Mevlana Mah.,1,1,75,9,7
16.750,Kiralık Daire,İstanbul , Esenyurt , Örnek Mah.,2,1,105,3,3
25.000,Kiralık Daire,İstanbul , Fatih , Seyyid Ömer Mah.,1,1,85,37,4
18.000,Kiralık Daire,İstanbul , Bahçelievler , Bahçelievler Mah.,1,1,65,35,1
20.000,Kiralık Daire,İstanbul , Kağıthane , Çağlayan Mah.,1,1,60,8,4
57.000,Kiralık Residence,İstanbul , Şişli , Cumhuriyet Mah.,1,1,92,5,21
25.000,Kiralık Daire,İstanbul , Büyükçekmece , Ekinoba Mah.,2,1,70,5,2
42.000,Kiralık Daire,İstanbul , Maltepe , İdealtepe Mah.,2,1,90,5,1
30.000,Kiralık Daire,İstanbul , Üsküdar , Bulgurlu Mah.,3,1,100,20,2
