list-view-price,left,celly 3,celly 4,location,districk,neighborhood,room,living_room,area
23.500,Kiralık Daire,"25
                        Yaşında",3. Kat,İstanbul , Pendik , Kurtköy Mah.,2,1,110
30.000,Kiralık Daire,"12
                        Yaşında",Yüksek Giriş,İstanbul , Şişli , Halide Edip Adıvar Mah.,2,1,140
50.000,Kiralık Daire,"55
                        Yaşında",2. Kat,İstanbul , Bakırköy , Ataköy 3-4-11. Kısım Mah.,3,1,127
18.000,Kiralık Daire,"20
                        Yaşında",En Üst Kat,İstanbul , Pendik , Velibaba Mah.,2,1,90
66.000,Kiralık Daire,"7
                        Yaşında",3. Kat,İstanbul , Kadıköy , Fenerbahçe Mah.,2,1,71
13.500,Kiralık Daire,"32
                        Yaşında",Bahçe Katı,İstanbul , Avcılar , Merkez Mah.,3,1,110
35.000,Kiralık Daire,"30
                        Yaşında",2. Kat,İstanbul , Şişli , Feriköy Mah.,3,1,120
55.000,Kiralık Daire,"10
                        Yaşında",4. Kat,İstanbul , Sarıyer , Maslak Mah.,1,1,80
17.500,Kiralık Daire,"38
                        Yaşında",1. Kat,İstanbul , Bahçelievler , Şirinevler Mah.,2,1,90
140.000,Kiralık Villa,"32
                        Yaşında",,İstanbul , Beşiktaş , Balmumcu Mah.,5,1,500
60.000,Kiralık Daire,Sıfır Bina,3. Kat,İstanbul , Bahçelievler , Bahçelievler Mah.,3,1,150
390.000,Kiralık Villa,"20
                        Yaşında",,İstanbul , Eyüpsultan , Göktürk Merkez Mah.,4,2,400
75.000,Kiralık Daire,Sıfır Bina,7. Kat,İstanbul , Kadıköy , Göztepe Mah.,2,1,80
80.000,Kiralık Daire,"30
                        Yaşında",Ara Kat,İstanbul , Beykoz , Kanlıca Mah.,3,1,140
62.000,Kiralık Daire,"1
                        Yaşında",1. Kat,İstanbul , Kadıköy , Göztepe Mah.,3,1,105
30.000,Kiralık Daire,"40
                        Yaşında",2. Kat,İstanbul , Beşiktaş , Vişnezade Mah.,2,1,90
28.000,Kiralık Daire,"35
                        Yaşında",Giriş Katı,İstanbul , Kadıköy , Merdivenköy Mah.,2,1,85
26.000,Kiralık Daire,"30
                        Yaşında",1. Kat,İstanbul , Beykoz , Paşabahçe Mah.,2,1,90
20.500,Kiralık Daire,"25
                        Yaşında",4. Kat,İstanbul , Kağıthane , Nurtepe Mah.,3,1,170
35.000,Kiralık Daire,"19
                        Yaşında",2. Kat,İstanbul , Çekmeköy , Mimar Sinan Mah.,3,1,125
18.000,Kiralık Daire,"25
                        Yaşında",En Üst Kat,İstanbul , Kağıthane , Sultan Selim Mah.,2,1,90
14.500,Kiralık Daire,"40
                        Yaşında",Ara Kat,İstanbul , Bayrampaşa , Orta Mah.,2,1,85
33.000,Kiralık Daire,"5
                        Yaşında",1. Kat,İstanbul , Kadıköy , Caferağa Mah.,1,0,45
80.000,Kiralık Daire,"9
                        Yaşında",1. Kat,İstanbul , Kadıköy , Kozyatağı Mah.,3,1,145
12.000,Kiralık Daire,"6
                        Yaşında",16. Kat,İstanbul , Esenyurt , Yeşilkent Mah.,1,1,68
35.000,Kiralık Daire,"7
                        Yaşında",Yarı Bodrum,İstanbul , Beşiktaş , Abbasağa Mah.,2,1,95
17.500,Kiralık Daire,"22
                        Yaşında",1. Kat,İstanbul , Kartal , Hürriyet Mah.,2,1,110
30.000,Kiralık Daire,"8
                        Yaşında",2. Kat,İstanbul , Kağıthane , Çağlayan Mah.,3,1,120
30.000,Kiralık Daire,"12
                        Yaşında",4. Kat,İstanbul , Şişli , Cumhuriyet Mah.,1,1,70
12.000,Kiralık Daire,"20
                        Yaşında",Çatı Katı,İstanbul , Gaziosmanpaşa , Karayolları Mah.,2,1,150
